MCStep s           	 Energy_U	Average_Energy_<U>	      Variance	 Order_Parameter	 Acceptance_Ratio	 Temperature
86	   -190.49817	              -190.53157	      3.538812	    0.95667274	        3.125	         0.1
86	   -190.55712	              -190.53226	      3.542994	    0.95667274	            0	         0.1
87	   -190.55712	              -190.53254	     3.5044762	    0.95667274	            0	         0.1
87	    -190.5534	               -190.5325	     3.5041867	    0.95738546	        3.125	         0.1
88	   -190.34165	              -190.53033	     3.4522099	    0.95657584	        9.375	         0.1
88	   -190.27017	              -190.52952	     3.4474873	    0.95657584	            0	         0.1
89	   -189.95922	              -190.52311	     3.3750253	    0.95347136	         6.25	         0.1
89	   -189.84736	              -190.52186	      3.367671	    0.95640516	        9.375	         0.1
90	   -189.74787	              -190.51326	     3.2852315	    0.95558166	        3.125	         0.1
90	   -189.86312	              -190.51454	     3.2890156	    0.95860554	         6.25	         0.1
91	   -190.13458	              -190.51036	     3.2294868	    0.95860554	            0	         0.1
91	   -189.96919	              -190.50854	     3.2202462	     0.9559381	        3.125	         0.1
92	   -189.70629	              -190.49982	     3.1391352	    0.95416767	         12.5	         0.1
92	   -189.83003	              -190.50117	     3.1444387	    0.95597931	         6.25	         0.1
93	   -190.15557	              -190.49745	     3.0886671	    0.95972649	         12.5	         0.1
93	     -190.429	              -190.50039	     3.1063228	    0.96003981	        3.125	         0.1
94	   -190.46104	              -190.49997	     3.0710269	    0.96113337	        9.375	         0.1
94	    -190.6137	               -190.5016	      3.081053	    0.95955025	        9.375	         0.1
95	   -190.52683	              -190.50186	     3.0505743	    0.96089744	        3.125	         0.1
95	   -190.73032	              -190.50401	     3.0641163	    0.96409856	        9.375	         0.1
96	   -190.71401	              -190.50619	     3.0462967	    0.96409856	            0	         0.1
96	   -190.80157	               -190.5071	     3.0523785	    0.96282829	        3.125	         0.1
97	   -190.82258	              -190.51036	     3.0420526	    0.96282829	            0	         0.1
97	   -190.82258	              -190.51036	     3.0420526	    0.96282829	            0	         0.1
98	   -190.62093	              -190.51149	     3.0181699	    0.96208948	         6.25	         0.1
98	    -190.4529	              -190.50977	      3.007827	    0.96145515	        9.375	         0.1
99	   -190.40063	              -190.50867	     2.9709632	    0.96133513	        3.125	         0.1
99	   -190.58406	              -190.51052	      2.982436	    0.96027474	        3.125	         0.1
